,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,Days_As_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchases,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Total_AcceptedCmp,AcceptedAnyCmp,Complain
0,67.0,Graduation,Single,58138.0,0,0,58,4357,635,88,546,172,88,88,1617,3,8,10,4,7,0,0,0,0,0,1,1,1,0
1,70.0,Graduation,Single,46344.0,1,1,38,3807,11,1,6,2,1,6,27,2,1,1,2,5,0,0,0,0,0,0,0,0,0
2,59.0,Graduation,Together,71613.0,0,0,26,4006,426,49,127,111,21,42,776,1,8,2,10,4,0,0,0,0,0,0,0,0,0
3,40.0,Graduation,Together,26646.0,1,0,26,3833,11,4,20,10,3,5,53,2,2,0,4,6,0,0,0,0,0,0,0,0,0
4,43.0,PhD,Married,58293.0,1,0,94,3855,173,43,118,46,27,15,422,5,5,3,6,5,0,0,0,0,0,0,0,0,0
5,57.0,Master,Together,62513.0,0,1,16,3987,520,42,98,0,42,14,716,2,6,4,10,6,0,0,0,0,0,0,0,0,0
6,53.0,Graduation,Divorced,55635.0,0,1,34,4287,235,65,164,50,49,27,590,4,7,3,7,6,0,0,0,0,0,0,0,0,0
7,39.0,PhD,Married,33454.0,1,0,32,4111,76,10,56,3,1,23,169,2,4,0,4,8,0,0,0,0,0,0,0,0,0
8,50.0,PhD,Together,30351.0,1,0,19,4082,14,0,24,3,3,2,46,1,3,0,2,9,0,0,0,0,0,1,1,1,0
9,74.0,PhD,Together,5648.0,1,1,68,3802,28,0,6,1,1,13,49,1,1,0,0,20,0,0,1,0,0,0,1,1,0
10,41.0,Graduation,Married,52792.824653788244,1,0,11,3920,5,5,6,0,2,1,19,1,1,0,2,7,0,0,0,0,0,0,0,0,0
11,48.0,Basic,Married,7500.0,0,0,59,4287,6,16,11,11,1,16,61,1,2,0,3,8,0,0,0,0,0,0,0,0,0
12,65.0,Graduation,Divorced,63033.0,0,0,82,3920,194,61,480,225,112,30,1102,1,3,4,8,2,0,0,0,0,0,0,0,0,0
13,72.0,Master,Divorced,59354.0,1,1,53,3920,233,2,53,3,5,14,310,3,6,1,5,6,0,0,0,0,0,0,0,0,0
14,37.0,Graduation,Married,17323.0,0,0,38,4321,3,14,17,6,1,5,46,1,1,0,3,8,0,0,0,0,0,0,0,0,0
15,78.0,PhD,Single,82800.0,0,0,23,4276,1006,22,115,59,68,45,1315,1,7,6,12,3,1,0,0,0,1,1,3,1,0
16,44.0,Graduation,Married,41850.0,1,1,51,4246,53,5,19,2,13,4,96,3,3,0,3,8,0,0,0,0,0,0,0,0,0
17,78.0,Graduation,Together,37760.0,0,0,20,4361,84,5,38,150,12,28,317,2,4,1,6,7,0,0,0,0,0,0,0,0,0
18,75.0,Master,Married,76995.0,0,1,91,4152,1012,80,498,0,16,176,1782,2,11,4,9,5,1,0,0,0,0,0,1,1,0
19,39.0,2n Cycle,Single,33812.0,1,0,86,4297,4,17,19,30,24,39,133,2,2,1,3,6,0,0,0,0,0,0,0,0,0
20,42.0,Graduation,Married,37040.0,0,0,41,4384,86,2,73,69,38,48,316,1,4,2,5,8,0,0,0,0,0,0,0,0,0
21,45.0,Graduation,Married,2447.0,1,0,42,4233,1,1,1725,1,1,1,1730,15,0,28,0,1,0,0,0,0,0,0,0,0,0
23,70.0,PhD,Married,65324.0,0,1,0,3863,384,0,102,21,32,5,544,3,6,2,9,4,0,0,0,0,0,0,0,0,0
24,73.0,Graduation,Together,40689.0,0,1,69,4162,270,3,27,39,6,99,444,7,7,1,5,8,0,0,0,0,0,0,0,0,0
25,55.0,Graduation,Single,18589.0,0,0,89,4237,6,4,25,15,12,13,75,2,2,1,3,7,0,0,0,0,0,0,0,0,0
26,48.0,Graduation,Married,53359.0,1,1,4,4092,173,4,30,3,6,41,257,4,5,1,4,7,0,0,0,0,0,0,0,0,0
27,38.0,Graduation,Single,52792.824653788244,1,0,19,4188,5,1,3,3,263,362,637,0,27,0,0,1,0,0,0,0,0,0,0,0,0
28,35.0,Graduation,Married,38360.0,1,0,26,4088,36,2,42,20,21,10,131,2,2,1,4,3,0,0,0,0,0,0,0,0,0
29,59.0,PhD,Married,84618.0,0,0,96,3913,684,100,801,21,66,0,1672,1,6,9,10,2,0,0,0,0,1,0,1,1,0
30,35.0,Master,Divorced,10979.0,0,0,34,3732,8,4,10,2,2,4,30,2,3,0,3,5,0,0,0,0,0,0,0,0,0
31,61.0,Master,Together,38620.0,0,0,56,4108,112,17,44,34,22,89,318,1,2,5,3,3,0,0,0,0,0,0,0,0,0
32,54.0,Graduation,Together,40548.0,0,1,31,4321,110,0,5,2,0,3,120,2,2,1,4,5,0,0,0,1,0,0,1,1,0
33,72.0,PhD,Divorced,46610.0,0,2,8,4302,96,12,96,33,22,43,302,6,4,1,6,6,0,0,0,0,0,1,1,1,0
34,78.0,Master,Married,68657.0,0,0,4,4188,482,34,471,119,68,22,1196,1,3,5,9,7,0,0,0,0,0,0,0,0,0
35,73.0,Master,Single,49389.0,1,1,55,3998,40,0,19,2,1,3,65,1,2,0,3,7,0,0,0,0,0,0,0,0,0
36,54.0,PhD,Married,67353.0,0,1,37,3874,702,17,151,0,8,35,913,5,5,6,12,2,0,0,0,0,0,0,0,0,0
37,48.0,2n Cycle,Married,23718.0,1,0,76,3994,6,3,14,15,7,36,81,3,3,1,2,7,0,0,0,0,0,0,0,0,0
38,51.0,Graduation,Widow,42429.0,0,1,99,3832,55,0,6,2,0,4,67,2,1,1,3,5,0,0,0,0,0,0,0,0,0
39,81.0,PhD,Divorced,48948.0,0,0,53,4207,437,8,206,160,49,42,902,2,7,10,5,6,0,0,1,0,0,1,2,1,0
40,44.0,Graduation,Married,80011.0,0,1,3,4120,421,76,536,82,178,102,1395,2,8,6,5,4,0,0,0,0,0,0,0,0,0
41,39.0,Master,Married,20559.0,1,0,88,4168,13,1,29,3,0,7,53,2,2,0,3,8,0,0,0,0,0,0,0,0,0
42,67.0,Graduation,Together,21994.0,0,1,4,4246,9,0,6,3,1,3,22,1,0,0,3,5,0,0,0,0,0,0,0,0,0
43,65.0,PhD,Single,52792.824653788244,0,0,80,3930,81,11,50,3,2,39,186,1,1,3,4,2,0,0,0,0,0,0,0,0,0
44,49.0,Master,Married,7500.0,1,0,19,3964,3,1,10,3,2,12,31,3,2,0,3,5,0,0,0,0,0,0,0,0,0
45,48.0,Graduation,Single,79941.0,0,0,72,3695,123,164,266,227,30,174,984,1,2,4,9,1,0,0,0,0,0,0,0,0,0
46,28.0,2n Cycle,Married,7500.0,0,0,24,4291,3,18,14,15,22,50,122,3,3,1,3,9,0,0,0,0,0,1,1,1,0
47,56.0,Graduation,Together,41728.0,1,0,92,4095,13,6,15,3,5,13,55,1,2,0,2,10,0,0,0,0,0,0,0,0,0
48,73.0,Graduation,Single,52792.824653788244,2,1,96,3873,48,5,48,6,10,7,124,3,2,1,4,6,0,0,0,0,0,0,0,0,0
49,70.0,PhD,Married,72550.0,1,1,39,4292,826,50,317,50,38,38,1319,9,5,2,12,8,0,0,0,0,0,0,0,0,0
50,67.0,Graduation,Widow,65486.0,0,1,29,3742,245,19,125,37,67,14,507,1,4,2,10,2,0,0,0,0,0,0,0,0,0
51,60.0,Master,Married,79143.0,0,0,2,4381,650,37,780,27,167,32,1693,1,6,9,13,3,0,0,0,0,0,0,0,0,0
52,47.0,Graduation,Single,35790.0,1,0,54,4237,12,6,20,30,1,3,72,2,2,0,3,7,0,0,0,0,0,0,0,0,0
53,47.0,Graduation,Divorced,82582.0,0,0,54,3716,510,120,550,156,40,241,1617,1,4,9,7,1,1,0,1,0,0,1,3,1,0
54,46.0,Graduation,Married,66373.0,1,1,57,4076,328,9,124,12,24,109,606,7,4,2,10,3,0,0,0,0,0,0,0,0,0
55,69.0,Master,Together,82384.0,0,0,55,4281,984,51,432,180,120,190,1957,1,3,10,13,1,0,0,0,0,1,1,2,1,0
56,58.0,Graduation,Divorced,70287.0,0,0,30,4147,295,35,482,121,120,40,1093,1,5,5,10,3,0,0,0,0,0,1,1,1,0
57,36.0,Graduation,Single,27938.0,1,0,31,3756,13,0,8,2,1,5,29,1,1,0,4,3,0,0,0,0,0,0,0,0,0
58,42.0,Graduation,Single,52792.824653788244,1,0,57,4071,11,3,22,2,2,6,46,2,2,0,3,6,0,0,0,0,0,0,0,0,0
59,56.0,PhD,Married,55954.0,0,1,63,3812,447,0,28,0,0,43,518,3,8,2,6,7,0,0,0,0,0,0,0,0,0
60,42.0,Master,Single,75777.0,0,0,12,4054,712,26,538,69,13,80,1438,1,3,6,11,1,0,0,0,1,1,1,3,1,0
61,49.0,Graduation,Together,66653.0,1,1,18,4354,452,18,102,16,18,6,612,4,4,2,12,3,0,0,0,0,0,0,0,0,0
62,72.0,Graduation,Single,61823.0,0,1,26,4190,523,7,134,37,14,169,884,4,8,2,10,7,0,0,0,0,0,0,0,0,0
63,73.0,PhD,Widow,67680.0,0,1,8,4077,546,0,48,0,6,6,606,1,7,3,8,5,0,0,0,0,0,0,0,0,0
64,76.0,Graduation,Together,70666.0,0,0,29,3899,398,40,367,119,122,30,1076,1,7,4,4,4,0,0,0,0,0,0,0,0,0
65,53.0,Graduation,Married,25721.0,1,0,75,4098,1,3,6,3,6,15,34,1,1,1,2,7,0,0,0,0,0,1,1,1,0
